datetime_index,ICE Cocoa Warehouse Stock Total Bags - INVENTORY VOLUME,Cocoa-ICCO Daily Price US$/MT,CSCE-COCOA COML. LONG - OPEN INTEREST,CSCE-COCOA COM. LONG FUT - OPEN INTEREST,CSCE-COCOA COM.LONG INDEX - OPEN INTEREST,CSCE-COCOA COML. SHORT - OPEN INTEREST,CSCE-COCOA COM. SHORT FUT - OPEN INTEREST,CSCE-COCOA COM.SHORT INDEX - OPEN INTEREST,CSCE-COCOA INDEX TR LONG - OPEN INTEREST,CSCE-COCOA INDEX TR SHORT - OPEN INTEREST,CSCE-COCOA MAN-MONEY LONG - OPEN INTEREST,CSCE-COCOA M-M LG F - OPEN INTEREST,CSCE-COCOA MAN-MONEY SHORT - OPEN INTEREST,CSCE-COCOA M-M SH F - OPEN INTEREST,CSCE-COCOA M-M SP - OPEN INTEREST,CSCE-COCOA M-M SP F - OPEN INTEREST,CSCE-COCOA NON-COML. LONG - OPEN INTEREST,CSCE-COCOA N-COM. LONG FUT - OPEN INTEREST,CSCE-COCOA N-COM.LONG INDEX - OPEN INTEREST,CSCE-COCOA NON-COML. SHORT - OPEN INTEREST,CSCE-COCOA N-COM. SHORT FUT - OPEN INTEREST,CSCE-COCOA NC SH IT - OPEN INTEREST,CSCE-COCOA NON-COML. SPREAD - OPEN INTEREST,CSCE-COCOA N-COM SPREAD FUT - OPEN INTEREST,CSCE-COCOA N-COM SPREAD FUT - OPEN INTEREST,CSCE-COCOA NON-REP. LONG - OPEN INTEREST,CSCE-COCOA N-REP. LONG FUT - OPEN INTEREST,CSCE-COCOA NR LG IT - OPEN INTEREST,CSCE-COCOA NON-REP. SHORT - OPEN INTEREST,CSCE-COCOA N-REP. SHORT FUT - OPEN INTEREST,CSCE-COCOA NR SH IT - OPEN INTEREST,CSCE-COCOA OTHER LONG - OPEN INTEREST,CSCE-COCOA OTHER LONG FUT - OPEN INTEREST,CSCE-COCOA OTHER SHORT - OPEN INTEREST,CSCE-COCOA OTHER SHORT FUT - OPEN INTEREST,CSCE-COCOA OTHER SPREADING - OPEN INTEREST,CSCE-COCOA OTHER SPREAD FUT - OPEN INTEREST,CSCE-COCOA PROD-USER LONG - OPEN INTEREST,CSCE-COCOA P-U LG FU - OPEN INTEREST,CSCE-COCOA PROD-USER SHORT - OPEN INTEREST,CSCE-COCOA P-U SH FU - OPEN INTEREST,CSCE-COCOA SWAP LONG - OPEN INTEREST,CSCE-COCOA SWAP LONG FUT - OPEN INTEREST,CSCE-COCOA SWAP SHORT - OPEN INTEREST,CSCE-COCOA SWAP SHORT FUT - OPEN INTEREST,CSCE-COCOA SWAP SPREADING - OPEN INTEREST,CSCE-COCOA SWAP SPREAD FUT - OPEN INTEREST,CSCE-COCOA TOTAL OI - OPEN INTEREST,CSCE-COCOA TOTAL OI FUT - OPEN INTEREST,CSCE-COCOA TOTAL OI INDEX - OPEN INTEREST,CSCE-COCOA TOTAL LONG - OPEN INTEREST,CSCE-COCOA TOTAL LONG FUT - OPEN INTEREST,CSCE-COCOA TOTAL LONG INDEX - OPEN INTEREST,CSCE-COCOA TOTAL SHORT - OPEN INTEREST,CSCE-COCOA TOTAL SHORT FUT - OPEN INTEREST,CSCE-COCOA TOT SH IT - OPEN INTEREST,S&P GSCI 1 Month Fwd Cocoa Index ER - EXCESS RETURN,S&P GSCI 1 Month Fwd Cocoa Index - PRICE INDEX,S&P GSCI 1 Month Fwd Cocoa Index TR - RETURN IND. (OFCL),S&P GSCI 3 Mth Fwd Cocoa ER - EXCESS RETURN,S&P GSCI 3 Mth Fwd Cocoa PI - PRICE INDEX,S&P GSCI 3 Mth Fwd Cocoa - RETURN IND. (OFCL),S&P GSCI Cocoa Dynamic Roll - PRICE INDEX,S&P GSCI Cocoa Dynamic Roll TR - RETURN IND. (OFCL),S&P GSCI Cocoa Dynamic Roll ER - EXCESS RETURN,S&P GSCI 2MTH Fwd Cocoa Idx ER - EXCESS RETURN,S&P GSCI 2MTH Fwd Cocoa Idx - PRICE INDEX,S&P GSCI 2MTH Fwd Cocoa Idx TR - RETURN IND. (OFCL),S&P GSCI Cocoa 12 Mth Fwd Spot - PRICE INDEX,S&P GSCI Cocoa 12 Mth Fwd TR - RETURN IND. (OFCL),S&P GSCI Cocoa 12 Mth Fwd XS - EXCESS RETURN,S&P GSCI Cocoa 6 Mth Fwd Spot - PRICE INDEX,S&P GSCI Cocoa 6 Mth Fwd TR - RETURN IND. (OFCL),S&P GSCI Cocoa 6 Mth Fwd XS - EXCESS RETURN
2014-01-23,3681023,2863.47,73969,67485,54760,155270,152566,152927,30031,2353,81982,86351,12584,13768,37030,20241,92933,101716,82121,17854,22818,17854,63641,28245,63631,12788,12344,12788,6566,6161,6566,10951,15365,5270,9050,26612,8004,52662,48216,146360,144759,17399,16763,5001,5301,3909,2506,243332,209790,243332,230543,197446,230543,236766,203629,236766,79.1292,209.6629,135.0249,82.56,206.25,140.88,213.99,136.41,79.94,74.7,195.05,126.82,90.28,85.88,85.69,111.05,101.47,100.96
2014-01-24,3657042,2852.93,73969,67485,54760,155270,152566,152927,30031,2353,81982,86351,12584,13768,37030,20241,92933,101716,82121,17854,22818,17854,63641,28245,63631,12788,12344,12788,6566,6161,6566,10951,15365,5270,9050,26612,8004,52662,48216,146360,144759,17399,16763,5001,5301,3909,2506,243332,209790,243332,230543,197446,230543,236766,203629,236766,79.1858,209.8127,135.1215,82.59,206.33,140.93,214.14,136.51,80,74.75,195.19,126.91,89.98,85.6,85.42,111.05,101.47,100.96
2014-01-27,3642986,2955.52,73969,67485,54760,155270,152566,152927,30031,2353,81982,86351,12584,13768,37030,20241,92933,101716,82121,17854,22818,17854,63641,28245,63631,12788,12344,12788,6566,6161,6566,10951,15365,5270,9050,26612,8004,52662,48216,146360,144759,17399,16763,5001,5301,3909,2506,243332,209790,243332,230543,197446,230543,236766,203629,236766,81.8997,217.0037,139.753,85.39,213.32,145.71,221.48,141.19,82.74,77.31,201.88,131.26,92.72,88.21,88.02,114.69,104.8,104.27
2014-01-28,3658868,2964.65,75343,67062,56376,164726,160257,162683,29720,2053,89797,91367,12336,11506,41998,23931,98897,104537,88154,18706,20909,18706,72677,32603,72667,15103,14653,15103,5911,5086,5911,9101,13170,6370,9403,30679,8672,54012,47181,154923,152511,17681,18239,6153,6104,3650,1642,262020,218855,262020,246917,204202,246917,256109,213769,256109,82.4086,218.352,140.6215,85.98,214.79,146.71,222.85,142.06,83.25,77.79,203.14,132.08,93.25,88.7,88.51,115.37,105.42,104.89
2014-01-29,3657929,2977.06,75343,67062,56376,164726,160257,162683,29720,2053,89797,91367,12336,11506,41998,23931,98897,104537,88154,18706,20909,18706,72677,32603,72667,15103,14653,15103,5911,5086,5911,9101,13170,6370,9403,30679,8672,54012,47181,154923,152511,17681,18239,6153,6104,3650,1642,262020,218855,262020,246917,204202,246917,256109,213769,256109,82.7479,219.2509,141.2006,86.3,215.6,147.26,223.77,142.65,83.59,78.11,203.97,132.62,93.77,89.2,89.01,115.84,105.85,105.32
2014-01-30,3657929,2973.08,75343,67062,56376,164726,160257,162683,29720,2053,89797,91367,12336,11506,41998,23931,98897,104537,88154,18706,20909,18706,72677,32603,72667,15103,14653,15103,5911,5086,5911,9101,13170,6370,9403,30679,8672,54012,47181,154923,152511,17681,18239,6153,6104,3650,1642,262020,218855,262020,246917,204202,246917,256109,213769,256109,82.6348,218.9513,141.0079,86.18,215.31,147.06,223.47,142.45,83.48,78,203.69,132.44,93.77,89.2,89.01,115.76,105.78,105.25
2014-01-31,3648893,2960.04,75343,67062,56376,164726,160257,162683,29720,2053,89797,91367,12336,11506,41998,23931,98897,104537,88154,18706,20909,18706,72677,32603,72667,15103,14653,15103,5911,5086,5911,9101,13170,6370,9403,30679,8672,54012,47181,154923,152511,17681,18239,6153,6104,3650,1642,262020,218855,262020,246917,204202,246917,256109,213769,256109,82.6065,218.8764,140.9599,86.12,215.16,146.96,223.39,142.41,83.45,77.98,203.62,132.4,93.64,89.08,88.88,115.64,105.67,105.14
2014-02-03,3654260,2971.95,75343,67062,56376,164726,160257,162683,29720,2053,89797,91367,12336,11506,41998,23931,98897,104537,88154,18706,20909,18706,72677,32603,72667,15103,14653,15103,5911,5086,5911,9101,13170,6370,9403,30679,8672,54012,47181,154923,152511,17681,18239,6153,6104,3650,1642,262020,218855,262020,246917,204202,246917,256109,213769,256109,82.7196,219.176,141.1535,86.21,215.38,147.11,223.7,142.6,83.57,78.09,203.9,132.58,93.83,89.26,89.07,115.76,105.78,105.25
2014-02-04,3644631,2941.47,76737,71820,56896,171749,167234,168387,30499,3372,93838,95060,10800,12040,39072,20729,104098,109978,93450,17116,22800,17116,70565,29313,70555,14909,14359,14909,6880,6123,6880,10260,14918,6315,10760,31493,8584,54298,50923,159747,157345,17314,18188,6877,7180,5126,2709,266310,225470,266310,251401,211111,251401,259430,219347,259430,81.7301,216.5543,139.4652,85.27,213.02,145.51,221.02,140.9,82.57,77.15,201.46,130.99,93.11,88.58,88.39,114.65,104.77,104.24
2014-02-05,3643444,2942.43,76737,71820,56896,171749,167234,168387,30499,3372,93838,95060,10800,12040,39072,20729,104098,109978,93450,17116,22800,17116,70565,29313,70555,14909,14359,14909,6880,6123,6880,10260,14918,6315,10760,31493,8584,54298,50923,159747,157345,17314,18188,6877,7180,5126,2709,266310,225470,266310,251401,211111,251401,259430,219347,259430,81.928,217.0786,139.803,85.53,213.69,145.96,221.55,141.24,82.77,77.34,201.95,131.31,93.28,88.73,88.54,114.93,105.02,104.49
2014-02-06,3592984,2950.32,76737,71820,56896,171749,167234,168387,30499,3372,93838,95060,10800,12040,39072,20729,104098,109978,93450,17116,22800,17116,70565,29313,70555,14909,14359,14909,6880,6123,6880,10260,14918,6315,10760,31493,8584,54298,50923,159747,157345,17314,18188,6877,7180,5126,2709,266310,225470,266310,251401,211111,251401,259430,219347,259430,82.0976,217.528,140.0926,85.65,213.98,146.16,222.01,141.53,82.94,77.5,202.37,131.58,93.38,88.83,88.64,115.13,105.2,104.67
2014-02-07,3553592,2987.82,76737,71820,56896,171749,167234,168387,30499,3372,93838,95060,10800,12040,39072,20729,104098,109978,93450,17116,22800,17116,70565,29313,70555,14909,14359,14909,6880,6123,6880,10260,14918,6315,10760,31493,8584,54298,50923,159747,157345,17314,18188,6877,7180,5126,2709,266310,225470,266310,251401,211111,251401,259430,219347,259430,83.1154,220.2247,141.8294,86.74,216.7,148.02,224.84,143.28,83.97,78.46,204.95,133.21,94.56,89.98,89.78,116.39,106.51,105.97
2014-02-10,3553592,2980.21,76737,71820,56896,171749,167234,168387,30499,3372,93838,95060,10800,12040,39072,20729,104098,109978,93450,17116,22800,17116,70565,29313,70555,14909,14359,14909,6880,6123,6880,10260,14918,6315,10760,31493,8584,54298,50923,159747,157345,17314,18188,6877,7180,5126,2709,266310,225470,266310,251401,211111,251401,259430,219347,259430,82.8044,219.4007,141.2992,86.45,215.97,147.52,224.11,142.76,83.66,78.17,204.28,132.72,94.28,89.72,89.52,115.9,106.22,105.68
2014-02-11,3563086,2989.55,72927,69769,54333,166695,163652,163908,29162,2790,94089,94681,14145,14727,26049,18574,104316,106423,93751,19334,21400,19334,48671,28340,48668,14596,14220,14596,5810,5360,5810,10227,11742,5189,6673,22622,9766,51945,49968,155568,153864,16715,16897,6860,6884,4266,2904,240510,218752,240510,225914,204532,225914,234700,213392,234700,82.7761,219.3258,141.2513,86.45,215.97,147.52,224.17,142.73,83.64,78.15,204.33,132.7,94.64,90.08,89.88,116.01,106.44,105.89
2014-02-12,3545286,3022.69,72927,69769,54333,166695,163652,163908,29162,2790,94089,94681,14145,14727,26049,18574,104316,106423,93751,19334,21400,19334,48671,28340,48668,14596,14220,14596,5810,5360,5810,10227,11742,5189,6673,22622,9766,51945,49968,155568,153864,16715,16897,6860,6884,4266,2904,240510,218752,240510,225914,204532,225914,234700,213392,234700,83.9918,222.5468,143.3261,87.71,219.13,149.68,227.56,144.82,84.87,79.3,207.43,134.64,96.03,91.4,91.2,117.55,107.96,107.41
2014-02-13,3546303,3015.5,72927,69769,54333,166695,163652,163908,29162,2790,94089,94681,14145,14727,26049,18574,104316,106423,93751,19334,21400,19334,48671,28340,48668,14596,14220,14596,5810,5360,5810,10227,11742,5189,6673,22622,9766,51945,49968,155568,153864,16715,16897,6860,6884,4266,2904,240510,218752,240510,225914,204532,225914,234700,213392,234700,83.6242,221.573,142.6993,87.36,218.25,149.08,226.75,144.23,84.52,78.98,206.69,134.09,95.59,91,90.8,116.95,107.52,106.97
2014-02-14,3555963,3029.68,72927,69769,54333,166695,163652,163908,29162,2790,94089,94681,14145,14727,26049,18574,104316,106423,93751,19334,21400,19334,48671,28340,48668,14596,14220,14596,5810,5360,5810,10227,11742,5189,6673,22622,9766,51945,49968,155568,153864,16715,16897,6860,6884,4266,2904,240510,218752,240510,225914,204532,225914,234700,213392,234700,83.8787,222.2471,143.1339,87.6,218.84,149.48,227.37,144.62,84.75,79.19,207.25,134.45,95.89,91.28,91.08,117.31,107.85,107.3
2014-02-17,3572191,3021.39,72927,69769,54333,166695,163652,163908,29162,2790,94089,94681,14145,14727,26049,18574,104316,106423,93751,19334,21400,19334,48671,28340,48668,14596,14220,14596,5810,5360,5810,10227,11742,5189,6673,22622,9766,51945,49968,155568,153864,16715,16897,6860,6884,4266,2904,240510,218752,240510,225914,204532,225914,234700,213392,234700,83.8787,222.2471,143.1339,87.6,218.84,149.48,227.37,144.62,84.75,79.19,207.25,134.45,95.89,91.28,91.08,117.31,107.85,107.3
2014-02-18,3555662,3013.53,69188,65779,52469,163450,160118,161814,27281,1636,93735,94796,13609,14021,25985,17828,104125,106023,93563,18580,20528,18580,49189,27384,49189,14029,13614,14029,5310,4770,5310,10389,11227,4972,6507,23203,9556,50239,48071,153572,151622,15643,15868,6573,6656,3305,1840,236529,212800,236529,222501,199186,222501,231219,208030,231219,83.6525,221.6479,142.7495,87.3,218.1,148.98,226.6,144.13,84.46,78.92,206.55,134,95.59,91,90.8,116.83,107.41,106.86
